Experiment,Seed,Run,Iteration,BestFitness,AverageFitness,WorstFitness,Conflicts,ConstraintViolationScore,FacultySatisfaction,TeachingFactor,LearningFactor,MutationRate,IterationTimeSeconds
Complete Adaptive TLBO,20260837,3,5,93.5632,35.0279,0.0,0,0,92.5,1.9,0.525,0.278,0.2956
Complete Adaptive TLBO,20260837,3,6,93.694,23.4072,0.0,0,0,92.5,1.88,0.52,0.2673,0.2895
Complete Adaptive TLBO,20260837,3,7,93.742,23.4295,0.0,0,0,92.5,1.86,0.515,0.2569,0.299
Complete Adaptive TLBO,20260837,3,8,93.742,23.4355,0.0,0,0,92.5,1.84,0.51,0.2467,0.258
Complete Adaptive TLBO,20260837,3,9,93.742,23.4355,0.0,0,0,92.5,1.82,0.505,0.2367,0.2464
Complete Adaptive TLBO,20260837,3,10,93.742,23.4355,0.0,0,0,92.5,1.8,0.5,0.227,0.2711
Complete Adaptive TLBO,20260837,3,11,93.8092,23.4439,0.0,0,0,92.5,1.78,0.495,0.2175,0.2638
Complete Adaptive TLBO,20260837,3,12,93.862,23.4589,0.0,0,0,92.5,1.76,0.49,0.2083,0.2971
Complete Adaptive TLBO,20260837,3,13,93.862,34.9544,0.0,0,0,92.5,1.74,0.485,0.1993,0.2536
Complete Adaptive TLBO,20260837,3,14,93.862,23.4655,0.0,0,0,92.5,1.72,0.48,0.1905,0.242
Complete Adaptive TLBO,20260837,3,15,93.862,23.4655,0.0,0,0,92.5,1.7,0.475,0.182,0.2552
Complete Adaptive TLBO,20260837,3,16,93.862,23.4655,0.0,0,0,92.5,1.68,0.47,0.1737,0.2431
Complete Adaptive TLBO,20260837,3,17,93.862,23.4655,0.0,0,0,92.5,1.66,0.465,0.1657,0.2462
Complete Adaptive TLBO,20260837,3,18,93.862,23.4655,0.0,0,0,92.5,1.64,0.46,0.1579,0.2503
Complete Adaptive TLBO,20260837,3,19,93.862,35.1217,0.0,0,0,92.5,1.62,0.455,0.1503,0.2504
Complete Adaptive TLBO,20260837,3,20,93.862,23.4655,0.0,0,0,92.5,1.6,0.45,0.143,0.2572
Complete Adaptive TLBO,20260837,3,21,93.862,23.4655,0.0,0,0,92.5,1.58,0.445,0.1359,0.2496
Complete Adaptive TLBO,20260837,3,22,93.862,23.4655,0.0,0,0,92.5,1.56,0.44,0.1291,0.2534
Complete Adaptive TLBO,20260837,3,23,93.878,23.4675,0.0,0,0,92.5,1.54,0.435,0.1225,0.2733
Complete Adaptive TLBO,20260837,3,24,93.878,23.4695,0.0,0,0,92.5,1.52,0.43,0.1161,0.2746
Complete Adaptive TLBO,20260837,3,25,93.878,23.4695,0.0,0,0,92.5,1.5,0.425,0.11,0.247
Complete Adaptive TLBO,20260837,3,26,93.878,23.4695,0.0,0,0,92.5,1.48,0.42,0.1041,0.2433
Complete Adaptive TLBO,20260837,3,27,93.878,35.1065,0.0,0,0,92.5,1.46,0.415,0.0985,0.2458
Complete Adaptive TLBO,20260837,3,28,93.878,35.1563,0.0,0,0,92.5,1.44,0.41,0.0931,0.2248
Complete Adaptive TLBO,20260837,3,29,93.878,23.4695,0.0,0,0,92.5,1.42,0.405,0.0879,0.245
Complete Adaptive TLBO,20260837,3,30,93.878,23.4695,0.0,0,0,92.5,1.4,0.4,0.083,0.2606
Complete Adaptive TLBO,20260837,3,31,93.878,23.4695,0.0,0,0,92.5,1.38,0.395,0.0783,0.2534
Complete Adaptive TLBO,20260837,3,32,93.878,23.4695,0.0,0,0,92.5,1.36,0.39,0.0739,0.2393
Complete Adaptive TLBO,20260837,3,33,93.878,23.4695,0.0,0,0,92.5,1.34,0.385,0.0697,0.2518
Complete Adaptive TLBO,20260837,3,34,93.878,23.4695,0.0,0,0,92.5,1.32,0.38,0.0657,0.2589
Complete Adaptive TLBO,20260837,3,35,93.878,23.4695,0.0,0,0,92.5,1.3,0.375,0.062,0.2213
Complete Adaptive TLBO,20260837,3,36,93.878,35.2043,0.0,0,0,92.5,1.28,0.37,0.0585,0.225
Complete Adaptive TLBO,20260837,3,37,93.878,70.2147,0.0,0,0,92.5,1.26,0.365,0.0553,0.1947
Complete Adaptive TLBO,20260837,3,38,93.878,93.7737,93.4888,0,0,92.5,1.24,0.36,0.0523,0.1623
Complete Adaptive TLBO,20260837,3,39,93.878,93.8224,93.5828,0,0,92.5,1.22,0.355,0.0495,0.1691
Complete Adaptive TLBO,20260837,3,40,93.878,93.8593,93.728,0,0,92.5,1.2,0.35,0.047,0.1333
Complete Adaptive TLBO,20260837,3,41,93.878,93.878,93.878,0,0,92.5,1.18,0.345,0.0447,0.0999
Complete Adaptive TLBO,20260837,3,42,93.878,93.878,93.878,0,0,92.5,1.16,0.34,0.0427,0.0986
Complete Adaptive TLBO,20260837,3,43,93.878,93.878,93.878,0,0,92.5,1.14,0.335,0.0409,0.118
Complete Adaptive TLBO,20260837,3,44,93.878,93.878,93.878,0,0,92.5,1.12,0.33,0.0393,0.0904
Complete Adaptive TLBO,20260837,3,45,93.878,93.878,93.878,0,0,92.5,1.1,0.325,0.038,0.1246
Complete Adaptive TLBO,20260837,3,46,93.878,93.878,93.878,0,0,92.5,1.08,0.32,0.0369,0.0905
Complete Adaptive TLBO,20260837,3,47,93.878,93.878,93.878,0,0,92.5,1.06,0.315,0.0361,0.1088
Complete Adaptive TLBO,20260837,3,48,93.878,93.878,93.878,0,0,92.5,1.04,0.31,0.0355,0.0904
Complete Adaptive TLBO,20260837,3,49,93.878,93.878,93.878,0,0,92.5,1.02,0.305,0.0351,0.1075
Complete Adaptive TLBO,20260837,3,50,93.878,93.878,93.878,0,0,92.5,1.0,0.3,0.035,0.1159
Complete Adaptive TLBO,20260838,4,1,93.36,34.8948,0.0,0,0,92.5,1.98,0.545,0.3231,0.2962
