Experiment,Run,Seed,Fitness,FacultySatisfaction,Conflicts,ConstraintViolationScore,ExecutionTimeSeconds,IterationsCompleted
Complete Adaptive TLBO,24,20260858,94.034,92.5,0,0,11.79950159999862,50
Complete Adaptive TLBO,25,20260859,94.0,92.5,0,0,12.472548300000199,50
Complete Adaptive TLBO,26,20260860,93.906,92.5,0,0,11.337490599999,50
Complete Adaptive TLBO,27,20260861,93.968,92.5,0,0,12.173020700000052,50
Complete Adaptive TLBO,28,20260862,94.036,92.5,0,0,11.689139999998588,50
Complete Adaptive TLBO,29,20260863,93.99,92.5,0,0,10.988183800000115,50
Complete Adaptive TLBO,30,20260864,94.072,92.5,0,0,11.419119000001956,50
Complete Adaptive TLBO,31,20260865,94.0632,92.5,0,0,10.64895709999837,50
Complete Adaptive TLBO,32,20260866,93.9892,92.5,0,0,11.109164299999975,50
Complete Adaptive TLBO,33,20260867,93.9192,92.5,0,0,11.763860099999874,50
Complete Adaptive TLBO,34,20260868,93.95,92.5,0,0,11.796484099999361,50
Complete Adaptive TLBO,35,20260869,93.942,92.5,0,0,11.53828749999957,50
Complete Adaptive TLBO,36,20260870,93.958,92.5,0,0,11.599304700001085,50
Complete Adaptive TLBO,37,20260871,93.994,92.5,0,0,11.586523900001339,50
Complete Adaptive TLBO,38,20260872,94.104,92.5,0,0,11.591073999999935,50
Complete Adaptive TLBO,39,20260873,93.8852,92.5,0,0,11.060383199997887,50
Complete Adaptive TLBO,40,20260874,93.95,92.5,0,0,12.488418799999636,50
